,f_tristesa,f_estres,f_avorriment,f_calma,f_energia,f_felicitat
NC,,,,,,
0,23.756906077348066,22.375690607734807,24.03314917127072,2.4861878453038675,2.209944751381215,0.5524861878453038
1,18.23204419889503,11.878453038674033,9.94475138121547,1.3812154696132597,0.2762430939226519,
2,15.745856353591158,12.154696132596685,7.458563535911603,2.4861878453038675,0.5524861878453038,1.1049723756906076
3,11.32596685082873,6.077348066298343,9.116022099447514,2.7624309392265194,0.5524861878453038,
4,4.972375690607735,4.696132596685083,7.18232044198895,3.867403314917127,2.4861878453038675,1.1049723756906076
5,6.353591160220995,9.392265193370166,9.116022099447514,11.878453038674033,0.2762430939226519,1.9337016574585635
6,4.41988950276243,5.248618784530387,5.801104972375691,7.734806629834254,5.248618784530387,2.209944751381215
7,5.524861878453039,6.353591160220995,6.906077348066299,13.259668508287293,7.458563535911603,4.696132596685083
8,3.867403314917127,9.392265193370166,8.011049723756907,15.193370165745856,11.049723756906078,14.088397790055248
9,3.591160220994475,7.18232044198895,6.353591160220995,14.917127071823206,17.403314917127073,27.624309392265197
10,2.209944751381215,5.248618784530387,6.077348066298343,24.03314917127072,52.48618784530387,46.68508287292818
